Incoming,Outgoing,Node Count,Incoming (MB/s),Outgoing (MB/s),Node Count
2329762.94820717,750678.28685259,6016,2.3297629482,0.7506782869,6016
2161245.77114428,888206.96517413,6005,2.1612457711,0.8882069652,6005
2096110.44776119,703368.15920398,5989,2.0961104478,0.7033681592,5989
2023037.77335984,1031813.12127237,5977,2.0230377734,1.0318131213,5977
1941484,762167,5971,1.941484,0.762167,5971
2061472.22222222,1028527.77777778,5961,2.0614722222,1.0285277778,5961
2832825,886745,5957,2.832825,0.886745,5957
2297610.72492552,1182529.29493545,5941,2.2976107249,1.1825292949,5941
1801957.71878073,1010244.83775811,5926,1.8019577188,1.0102448378,5926
1913223.77622378,1206944.05594406,5942,1.9132237762,1.2069440559,5942
1900928.64222002,1103718.53320119,5954,1.9009286422,1.1037185332,5954
1832515.87301587,1222267.85714286,5959,1.832515873,1.2222678571,5959
1877528.24578791,988504.459861249,5984,1.8775282458,0.9885044599,5984
2075361.57635468,1143531.03448276,5974,2.0753615764,1.1435310345,5974
1873414.10129096,958486.593843098,5998,1.8734141013,0.9584865938,5998
1845671.57313707,1042166.51333947,6002,1.8456715731,1.0421665133,6002
2403342.31536926,874885.229540918,6025,2.4033423154,0.8748852295,6025
2018608.29959514,1146745.951417,6014,2.0186082996,1.1467459514,6014
1966751.47928994,851610.453648915,5995,1.9667514793,0.8516104536,5995
2027359.28143713,964785.429141717,5979,2.0273592814,0.9647854291,5979
1949806.96517413,824569.154228856,5952,1.9498069652,0.8245691542,5952
1903520,881094,5926,1.90352,0.881094,5926
1841552.13505462,692084.409136048,5896,1.8415521351,0.6920844091,5896
2302365.90229312,814962.113659023,5875,2.3023659023,0.8149621137,5875
2151603.77358491,806484.60774578,5858,2.1516037736,0.8064846077,5858
1790556.88622755,922718.562874251,5835,1.7905568862,0.9227185629,5835
2035243.29692155,766693.14796425,5810,2.0352432969,0.766693148,5810
1948796.82854311,925641.228939544,5805,1.9487968285,0.9256412289,5805
2112113.30049261,705871.921182266,5788,2.1121133005,0.7058719212,5788
2235189.18918919,886660.660660661,5794,2.2351891892,0.8866606607,5794
1731831.68316832,919792.079207921,5815,1.7318316832,0.9197920792,5815
1818164,1256400,5838,1.818164,1.2564,5838
1880513.94422311,1144477.09163347,5846,1.8805139442,1.1444770916,5846
2247655.44554455,1248770.2970297,5857,2.2476554455,1.248770297,5857
1783455.26838966,997448.310139165,5895,1.7834552684,0.9974483101,5895
1858867.66169154,1116957.21393035,5934,1.8588676617,1.1169572139,5934
2060258.89328063,883256.916996047,5952,2.0602588933,0.883256917,5952
2063569.74459725,986141.453831041,5976,2.0635697446,0.9861414538,5976
2092705.28455285,931586.382113821,6009,2.0927052846,0.9315863821,6009
1922091.26984127,1166977.18253968,6017,1.9220912698,1.1669771825,6017
2080586.48111332,1167153.08151093,6048,2.0805864811,1.1671530815,6048
2110900.49751244,1167880.59701493,6070,2.1109004975,1.167880597,6070
2126196.42857143,1472125,6083,2.1261964286,1.472125,6083
2003246.26121635,1489515.45363908,6105,2.0032462612,1.4895154536,6105
2079153.38645418,1639222.11155378,6116,2.0791533865,1.6392221116,6116
2030066.66666667,1431678.60696517,6122,2.0300666667,1.431678607,6122
1961964.10767697,1450059.82053839,6130,1.9619641077,1.4500598205,6130
2119886.45418327,1075349.60159363,6136,2.1198864542,1.0753496016,6136
1924803.32681018,1153879.64774951,6143,1.9248033268,1.1538796477,6143
1892829.19563059,937205.561072493,6158,1.8928291956,0.9372055611,6158
1916320.03988036,1074942.17347956,6175,1.9163200399,1.0749421735,6175
2036861.24876115,910019.82160555,6220,2.0368612488,0.9100198216,6220
1991354.16666667,1139095.23809524,6271,1.9913541667,1.1390952381,6271
2026880.11988012,1166760.23976024,6301,2.0268801199,1.1667602398,6301
1849807.05190989,1271044.07443683,6321,1.8498070519,1.2710440744,6321
1961621.51394422,1166286.85258964,6380,1.9616215139,1.1662868526,6380
1887078.89546351,1226001.97238659,6421,1.8870788955,1.2260019724,6421
2384975.32082922,932962.487660415,6481,2.3849753208,0.9329624877,6481
1932333.66935484,1064929.43548387,6504,1.9323336694,1.0649294355,6504
2020702.48756219,850224.875621891,6511,2.0207024876,0.8502248756,6511
2012805.58325025,800767.696909272,6500,2.0128055833,0.8007676969,6500
1908782.8685259,822710.15936255,6489,1.9087828685,0.8227101594,6489
1972591.04477612,916046.766169154,6485,1.9725910448,0.9160467662,6485
1790597.80439122,708774.451097804,6481,1.7905978044,0.7087744511,6481
1848261.69154229,803913.432835821,6476,1.8482616915,0.8039134328,6476
1692831.50548355,816211.365902293,6470,1.6928315055,0.8162113659,6470
1575336.9890329,1051857.42771685,6464,1.575336989,1.0518574277,6464
1692096.42147117,1066720.67594433,6463,1.6920964215,1.0667206759,6463
1785819.54137587,1335447.65702891,6456,1.7858195414,1.335447657,6456
1924376.86939182,1222010.9670987,6452,1.9243768694,1.2220109671,6452
1585866.20416254,1348775.02477701,6448,1.5858662042,1.3487750248,6448
1588535.78528827,1188588.46918489,6442,1.5885357853,1.1885884692,6442
